Código	Denominación	[A]	[B]	[B] VS [A]	
			jun-2025 Histórico	jun-2025 Histórico	
				VS	
				jun-2025 Proyectado	
		Monto	Monto	Monto	%
511002	IMPUESTOS	341.317.927	234.449.451	-106.868.476	-31,31%
511003	ARRENDAMIENTOS	467.202.000	489.483.891	22.281.891	4,77%
511005	SEGUROS	388.758.261	455.926.699	67.168.438	17,28%
511006	MANTENIMIENTO Y REPARACIONES	259.748.060	70.260.259	-189.487.801	-72,95%
511007	MEJORAS A BIENES AJENOS	12.000.000	0	-12.000.000	-100,00%
511008	CUOTAS DE ADMINISTRACIÓN	7.488.000	5.775.000	-1.713.000	-22,88%
511010	ASEO Y ELEMENTOS	173.544.246	204.770.174	31.225.928	17,99%
511011	CAFETERÍA	10.121.555	19.326.617	9.205.062	90,95%
511012	SERVICIOS PÚBLICOS	907.560.000	689.110.784	-218.449.216	-24,07%
511013	CORREO	75.118.330	43.404.014	-31.714.316	-42,22%
511014	TRANSPORTE FLETES Y ACARREOS	25.709.919	43.370.550	17.660.631	68,69%
511015	PAPELERÍA Y ÚTILES DE OFICINA	66.541.554	47.386.029	-19.155.525	-28,79%
511016	FOTOCOPIAS	28.276.154	24.201.064	-4.075.090	-14,41%
511018	PUBLICIDAD Y PROPAGANDA	371.337.149	358.539.243	-12.797.906	-3,45%
511019	CONTRIBUCIONES Y AFILIACIONES	103.358.500	224.249.060	120.890.560	116,96%
511020	GASTOS DE ASAMBLEA	63.312.821	76.451.208	13.138.387	20,75%
511021	GASTOS DE DIRECTIVOS	6.424.506	11.927.886	5.503.380	85,66%
511022	GASTOS DE COMITÉS	79.239.819	15.284.006	-63.955.813	-80,71%
511023	REUNIONES Y CONFERENCIAS	40.985.414	3.654.600	-37.330.814	-91,08%
511024	GASTOS LEGALES	23.224.331	43.227.946	20.003.615	86,13%
511025	INFORMACIÓN COMERCIAL	67.895.906	51.389.563	-16.506.343	-24,31%
511027	GASTOS DE VIAJES	147.908.644	168.601.140	20.692.496	13,99%
511029	VIGILANCIA PRIVADA	114.334.093	117.666.510	3.332.417	2,91%
511030	SISTEMATIZACIÓN	179.678.899	167.162.008	-12.516.891	-6,97%
511031	CUOTAS DE SOSTENIMIENTO	25.836.000	16.525.482	-9.310.518	-36,04%
511032	SUSCRIPCIONES Y PUBLICACIONES	2.062.042	1.157.000	-905.042	-43,89%
511033	ADECUACIÓN E INSTALACIÓN	189.721.404	16.831.285	-172.890.119	-91,13%
511034	ASISTENCIA TÉCNICA	32.974.996	49.911.747	16.936.751	51,36%
511035	PROCESAMIENTO ELECTRÓNICO DE DATOS	410.733.779	266.431.013	-144.302.766	-35,13%
511095	OTROS	95.200.000	2.333.558	-92.866.442	-97,55%
5115	DETERIORO	3.500.000.000	4.734.259.049	1.234.259.049	35,26%
511515	INTERESES CRÉDITOS DE VIVIENDA	2.250.000	0	-2.250.000	-100,00%
511516	PAGO POR CUENTA DE ASOCIADOS - CRÉDITOS DE VIVIENDA	84.000	15.721	-68.279	-81,28%
511517	CRÉDITOS DE CONSUMO	93.323.483.906	1.674.164.620	-91.649.319.286	-98,21%
511518	INTERESES CRÉDITOS DE CONSUMO	119.982.000	46.165.607	-73.816.393	-61,52%
511519	PAGO POR CUENTA DE ASOCIADOS - CRÉDITOS DE CONSUMO	13.014.000	2.562.375	-10.451.625	-80,31%
511523	MICROCRÉDITO EMPRESARIAL	-4.453.039.509	691.330.179	5.144.369.688	-115,52%
511524	INTERESES MICROCRÉDITO EMPRESARIAL	287.592.000	85.414.719	-202.177.281	-70,30%
511525	PAGOS POR CUENTA DE ASOCIADOS - MICROCRÉDITO EMPRESARIAL	33.846.000	11.028.929	-22.817.071	-67,41%
511526	CRÉDITOS COMERCIALES	21.507.968	606.700.970	585.193.002	2720,82%
511527	INTERESES CRÉDITOS COMERCIALES	42.858.000	43.490.759	632.759	1,48%
511528	PAGOS POR CUENTA DE ASOCIADOS - CRÉDITOS COMERCIALES	9.690.000	2.371.090	-7.318.910	-75,53%
511529	DETERIORO GENERAL DE CARTERA DE CRÉDITOS	410.130.000	229.199.461	-180.930.539	-44,12%
511545	OTRAS CUENTAS POR COBRAR	12.012.000	7.736.379	-4.275.621	-35,59%
511559	INTERESES DE CRÉDITOS DE CONSUMO CON PERIODOS DE GRACIA	7.242.000	0	-7.242.000	-100,00%
511561	INTERESES DE MICROCRÉDITO EMPRESARIAL CON PERIODOS DE GRACIA	65.226.000	0	-65.226.000	-100,00%
511562	INTERESES DE CRÉDITOS COMERCIALES CON PERIODOS DE GRACIA	40.938.000	0	-40.938.000	-100,00%
511563	DETERIORO GENERAL ADICIONAL CARTERA DE CRÉDITOS	293.100.000	577.628.580	284.528.580	97,08%
511565	OTROS CONCEPTOS CAUSADOS DE CRÉDITOS DE CONSUMO POR PERIODOS DE GRACIA	282.000	0	-282.000	-100,00%
511567	OTROS CONCEPTOS CAUSADOS DE MICROCRÉDITO EMPRESARIAL POR PERIODOS DE GRACIA	3.234.000	0	-3.234.000	-100,00%
511568	OTROS CONCEPTOS CAUSADOS DE CRÉDITOS COMERCIALES POR PERIODOS DE GRACIA	1.764.000	0	-1.764.000	-100,00%
511570	CRÉDITOS PRODUCTIVOS	3.532.186.380	694.749.945	-2.837.436.435	-80,33%
511571	INTERESES CRÉDITOS PRODUCTIVOS	98.340.246	57.791.998	-40.548.248	-41,23%
511572	PAGOS POR CUENTA DE ASOCIADOS - CRÉDITOS PRODUCTIVOS	179.011	3.907.717	3.728.706	2082,95%
5120	AMORTIZACIÓN Y AGOTAMIENTO	214.315.137	254.769.045	40.453.908	18,88%
512020	LICENCIAS	214.315.137	254.769.045	40.453.908	18,88%
5125	DEPRECIACIÓN PROPIEDAD PLANTA Y EQUIPO	817.964.445	264.555.082	-553.409.363	-67,66%
512505	EDIFICACIONES	33.466.147	34.811.709	1.345.562	4,02%
512510	MUEBLES Y EQUIPO DE OFICINA	87.784.805	47.194.959	-40.589.846	-46,24%
512515	EQUIPO DE CÓMPUTO Y COMUNICACIÓN	645.595.873	156.857.690	-488.738.183	-75,70%
512545	MAQUINARIA Y EQUIPO	51.117.620	25.690.724	-25.426.896	-49,74%
52	OTROS GASTOS	2.360.364.702	1.992.296.643	-368.068.059	-15,59%
5210	GASTOS FINANCIEROS	766.253.502	639.479.634	-126.773.868	-16,54%
521005	GASTOS BANCARIOS	1.164.000	604.352	-559.648	-48,08%
521020	COMISIONES	765.089.502	638.875.282	-126.214.220	-16,50%
5212	GASTOS POR RIESGO OPERATIVO	27.216.000	256.000	-26.960.000	-99,06%
5230	GASTOS VARIOS	1.566.895.200	1.352.561.009	-214.334.191	-13,68%
523015	CONTRATOS ONEROSOS	732.069.000	649.736.722	-82.332.278	-11,25%
523020	MULTAS SANCIONES LITIGIOS INDEMNIZACIONES Y DEMANDAS	142.200	8.200	-134.000	-94,23%
523050	IMPUESTOS ASUMIDOS	467.826.000	424.140.645	-43.685.355	-9,34%
523095	OTROS	366.858.000	278.675.442	-88.182.558	-24,04%
6	COSTO DE VENTAS	3.850.287.770	3.540.571.385	-309.716.385	-8,04%
61	COSTO DE VENTAS Y DE PRESTACIÓN DE SERVICIOS	3.850.287.770	3.540.571.385	-309.716.385	-8,04%
6150	INTERESES DE DEPÓSITOS DE CRÉDITOS DE BANCOS Y OTRAS OBLIGACIONES FINANCIERAS	3.850.287.770	3.540.571.385	-309.716.385	-8,04%
615005	INTERESES DEPÓSITOS DE AHORRO ORDINARIO	736.530.830	473.768.535	-262.762.295	-35,68%
615010	INTERESES DEPÓSITOS DE AHORRO A TERMINO	2.659.441.017	2.826.764.026	167.323.009	6,29%
615015	INTERESES AHORRO CONTRACTUAL	35.861.667	37.151.343	1.289.676	3,60%
615025	CONTRIBUCIÓN EMERGENCIA ECONÓMICA	3.876.000	0	-3.876.000	-100,00%
615035	INTERESES DE CRÉDITOS DE BANCOS	414.578.257	202.887.481	-211.690.776	-51,06%
					
53	EXCEDENTES Y PERDIDAS DEL EJERCICIO	466.184.384	3.067.921.144	2.601.736.760	558,09%
