	Código	Denominación	[A]	[B]	[B] VS [A]	
			sep-2025 Proyectado	sep-2025 Histórico	sep-2025 Histórico	
					VS	
					sep-2025 Proyectado	
			Monto	Monto	Monto	%
	210510	ORDINARIOS INACTIVAS	7.816.084.172	3.657.958.631	-4.158.125.541	-53,20%
	2110	CERTIFICADOS DEPÓSITOS DE AHORRO A TÉRMINO	72.728.747.143	81.606.689.935	8.877.942.792	12,21%
	211005	EMITIDOS MENOS DE 6 MESES	43.904.522.545	40.035.925.500	-3.868.597.045	-8,81%
	211010	EMITIDOS IGUAL A 6 MESES Y MENOR E IGUAL DE 12 MESES	26.788.638.978	39.924.931.272	13.136.292.294	49,04%
	211020	EMITIDOS IGUAL O SUPERIOR DE 18 MESES	661.950.327	377.180.805	-284.769.522	-43,02%
	211095	INTERESES CERTIFICADOS DEPÓSITOS DE AHORRO A TÉRMINO	1.373.635.295	1.268.652.358	-104.982.937	-7,64%
	2125	DEPÓSITOS DE AHORRO CONTRACTUAL	3.028.224.178	2.979.332.920	-48.891.258	-1,61%
	212505	DEPÓSITOS A CORTO PLAZO - ACTIVAS	2.085.545.803	2.056.409.566	-29.136.237	-1,40%
	212510	DEPÓSITOS A CORTO PLAZO - INACTIVAS	245.802.887	628.996.968	383.194.081	155,89%
	212515	DEPÓSITOS A LARGO PLAZO - ACTIVAS	156.009.818	198.814.089	42.804.271	27,44%
	212520	DEPÓSITOS A LARGO PLAZO - INACTIVAS	511.495.818	72.399.821	-439.095.997	-85,85%
	212595	INTERESES DEPÓSITOS DE AHORRO CONTRACTUAL	29.369.852	22.712.476	-6.657.376	-22,67%
	23	OBLIGACIONES FINANCIERAS Y OTROS PASIVOS FINANCIEROS	9.571.975.673	3.424.284.577	-6.147.691.096	-64,23%
	2305	CRÉDITOS ORDINARIOS CORTO PLAZO	1.539.690	11.709.671	10.169.981	660,52%
	230505	BANCOS COMERCIALES	1.539.690	4.468.310	2.928.620	190,21%
	230510	BANCOS COOPERATIVOS	0	7.241.361	7.241.361	100,00%
	2315	FINAGRO	6.290.793.173	3.412.574.906	-2.878.218.267	-45,75%
	231505	CRÉDITOS A CORTO PLAZO	4.102.284.088	2.038.673.515	-2.063.610.573	-50,30%
	231510	CRÉDITOS A LARGO PLAZO	2.062.215.419	1.321.625.304	-740.590.115	-35,91%
	231595	INTERESES FINAGRO	126.293.666	52.276.087	-74.017.579	-58,61%
	2325	BANCOLDEX	3.279.642.810	0	-3.279.642.810	-100,00%
	232505	CRÉDITOS A CORTO PLAZO	465.239.175	0	-465.239.175	-100,00%
	232510	CRÉDITOS A LARGO PLAZO	2.797.635.954	0	-2.797.635.954	-100,00%
	232595	INTERESES BANCOLDEX	16.767.681	0	-16.767.681	-100,00%
	24	CUENTAS POR PAGAR Y OTRAS	2.071.589.574	1.938.665.181	-132.924.394	-6,42%
	2410	COSTOS Y GASTOS POR PAGAR	373.696.293	278.821.516	-94.874.776	-25,39%
	241010	SEGUROS	155.600.258	267.901.452	112.301.195	72,17%
	241095	OTROS	218.096.035	10.920.064	-207.175.971	-94,99%
	2420	PROVEEDORES	83.032.665	50.079.370	-32.953.295	-39,69%
	242005	NACIONALES	83.032.665	50.079.370	-32.953.295	-39,69%
	2425	CONTRIBUCIONES Y AFILIACIONES	132.136.780	210.298.000	78.161.220	59,15%
	242510	FONDO DE GARANTÍAS DE ENTIDADES COOPERATIVAS	132.136.780	210.298.000	78.161.220	59,15%
	2430	GRAVAMEN DE LOS MOVIMIENTOS FINANCIEROS	25.212.520	17.251.018	-7.961.502	-31,58%
	243005	SOBRE DEPÓSITOS DE AHORRO	18.440.472	16.966.182	-1.474.290	-7,99%
	243010	SOBRE CERTIFICADOS DE DEPÓSITOS DE AHORRO A TÉRMINO	43.476	40.800	-2.676	-6,15%
	243015	SOBRE DEPÓSITOS DE AHORRO CONTRACTUAL	177.610	231.885	54.275	30,56%
	243095	SOBRE OTRAS TRANSACCIONES	6.550.962	12.151	-6.538.811	-99,81%
	2435	RETENCIÓN EN LA FUENTE	50.911.705	43.735.872	-7.175.833	-14,09%
	243505	SALARIOS Y PAGOS LABORALES	1.041.812	752.000	-289.812	-27,82%
	243515	HONORARIOS	4.281.818	15.991.987	11.710.169	273,49%
	243520	COMISIONES	466.288	388.536	-77.752	-16,67%
	243525	SERVICIOS	4.640.530	3.107.732	-1.532.798	-33,03%
	243530	ARRENDAMIENTOS	3.382.023	2.298.339	-1.083.684	-32,04%
	243535	RENDIMIENTOS FINANCIEROS	33.977.756	15.195.565	-18.782.191	-55,28%
	243540	COMPRAS	321.292	2.720.292	2.399.000	746,67%
	243560	IMPUESTO A LAS VENTAS RETENIDO POR CONSIGNAR	405.911	381.474	-24.437	-6,02%
	243570	CONTRATOS DE OBRA	0	216.200	216.200	100,00%
	243575	RETENCIÓN DE IMPUESTO DE INDUSTRIA Y COMERCIO POR COMPRAS	2.394.277	2.683.747	289.470	12,09%
	2440	PASIVO POR IMPUESTOS CORRIENTES	225.966.086	203.405.847	-22.560.239	-9,98%
	244010	IMPUESTO A LAS VENTAS POR PAGAR	19.744.475	27.226.847	7.482.372	37,90%
	244015	INDUSTRIA Y COMERCIO	206.221.611	176.179.000	-30.042.611	-14,57%
	2445	VALORES POR REINTEGRAR	111.781.933	116.250.450	4.468.517	4,00%
	244510	MAYOR DESCUENTO	907.578	8.210	-899.368	-99,10%
	244595	OTROS	110.874.355	116.242.240	5.367.885	4,84%
	2450	RETENCIONES Y APORTES LABORALES	150.868.654	149.776.341	-1.092.313	-0,72%
	245005	APORTES A BIENESTAR PROMOTORAS DE SALUD EPS	24.690.755	24.577.290	-113.465	-0,46%
	245010	APORTES A BIENESTAR PROMOTORAS DE PENSIÓN	86.779.058	94.113.551	7.334.493	8,45%
	245015	APORTES A ADMINISTRADORAS DE RIESGOS LABORALES ARL	7.328.945	7.560.800	231.855	3,16%
	245020	APORTES AL ICBF SENA Y CAJAS DE COMPENSACIÓN FAMILIAR	21.504.395	23.524.700	2.020.305	9,39%
	245040	COOPERATIVAS	10.565.501	0	-10.565.501	-100,00%
	2460	EXIGIBILIDADES POR SERVICIOS DE RECAUDO	712.720.346	684.370.992	-28.349.354	-3,98%
	246005	SERVICIOS PÚBLICOS MUNICIPALES	113.176.316	176.399.758	63.223.442	55,86%
	246015	PENSIONES Y MATRICULAS	5.638.054	22.867.010	17.228.956	305,58%
	246020	NÓMINAS DE BIENESTAR	5.796.251	32.481.810	26.685.559	460,39%
	246025	IMPUESTOS	376.916.415	257.093.759	-119.822.656	-31,79%
	246030	CONVENIOS PROGRAMADOS	207.366.311	193.803.048	-13.563.263	-6,54%
	246095	OTROS	3.826.998	1.725.607	-2.101.391	-54,91%
	2465	REMANENTES POR PAGAR	193.405.645	184.675.774	-8.729.871	-4,51%
	246505	DE APORTES EXASOCIADOS	193.230.150	184.500.584	-8.729.566	-4,52%
	246510	DEPÓSITOS EXASOCIADOS	175.495	175.190	-305	-0,17%
	2470	ESTABLECIMIENTOS AFILIADOS	11.856.946	0	-11.856.946	-100,00%
	26	FONDOS SOCIALES Y MUTUALES	658.024.894	509.621.700	-148.403.194	-22,55%
	2605	FONDO SOCIAL DE EDUCACIÓN	20.000.000	570.600	-19.429.400	-97,15%
	2610	FONDO SOCIAL DE SOLIDARIDAD	389.249	799.999	410.750	105,52%
	2648	FONDO SOCIAL PARA OTROS FINES	637.635.645	508.251.101	-129.384.544	-20,29%
	27	OTROS PASIVOS	2.191.974.590	1.659.318.956	-532.655.634	-24,30%
	2710	OBLIGACIONES LABORALES POR BENEFICIOS A EMPLEADOS	1.859.326.713	1.353.798.141	-505.528.572	-27,19%
	271005	BENEFICIOS A EMPLEADOS A CORTO PLAZO	1.859.326.713	1.353.798.141	-505.528.572	-27,19%
	2720	INGRESOS ANTICIPADOS - DIFERIDOS	283.502.011	148.731.526	-134.770.485	-47,54%
	272005	INTERESES	283.502.011	148.731.526	-134.770.485	-47,54%
	2725	INGRESOS RECIBIDOS PARA TERCEROS	49.145.866	156.789.289	107.643.423	219,03%
	272505	VALORES RECIBIDOS PARA TERCEROS	49.145.866	156.789.289	107.643.423	219,03%
	28	PROVISIONES	12.494.887	12.840.000	345.113	2,76%
	2820	PROVISIÓN MULTAS SANCIONES LITIGIOS INDEMNIZACIONES Y DEMANDAS	12.494.887	12.840.000	345.113	2,76%
	3	PATRIMONIO	76.617.576.266	79.710.947.344	3.093.371.078	4,04%
	31	CAPITAL SOCIAL	60.310.506.241	59.273.527.817	-1.036.978.423	-1,72%
	3105	APORTES SOCIALES TEMPORALMENTE RESTRINGIDOS	34.148.040.579	30.803.527.817	-3.344.512.761	-9,79%
	310505	APORTES ORDINARIOS	34.148.040.579	30.803.527.817	-3.344.512.761	-9,79%
	3110	APORTES SOCIALES MÍNIMOS NO REDUCIBLES	26.162.465.662	28.470.000.000	2.307.534.338	8,82%
	311005	APORTES ORDINARIOS	24.372.905.563	26.691.552.847	2.318.647.284	9,51%
	311010	APORTES AMORTIZADOS	1.789.560.099	1.778.447.153	-11.112.946	-0,62%
	32	RESERVAS	11.060.979.386	11.027.880.773	-33.098.613	-0,30%
	3205	RESERVA PROTECCIÓN DE APORTES	10.987.753.382	10.955.109.494	-32.643.888	-0,30%
	3215	RESERVA DE ASAMBLEA	73.226.003	72.771.279	-454.724	-0,62%
	33	FONDOS DE DESTINACIÓN ESPECÍFICA	738.233.571	113.752.763	-624.480.808	-84,59%
	3305	FONDO PARA AMORTIZACIÓN DE APORTES	613.115.520	0	-613.115.520	-100,00%
	3310	FONDO PARA REVALORIZACIÓN DE APORTES	70.208.533	57.326.627	-12.881.907	-18,35%
	3325	FONDO ESPECIAL	23.675.075	24.328.988	653.913	2,76%
	3330	FONDO SOCIALES CAPITALIZADOS	30.226.456	31.061.320	834.864	2,76%
	3335	FONDOS DE INVERSIÓN	1.007.987	1.035.828	27.841	2,76%
	35	EXCEDENTES Y/O PÉRDIDAS DEL EJERCICIO	-13.728.897	3.956.012.820	3.969.741.717	-28915,23%
	3505	EXCEDENTES	-13.728.897	0	13.728.897	-100,00%
	3510	PÉRDIDAS (DB)	0	3.956.012.820	3.956.012.820	100,00%
	36	RESULTADOS ACUMULADOS POR ADOPCIÓN POR PRIMERA VEZ	30.018.247	30.847.360	829.113	2,76%
	3605	EXCEDENTES	30.018.247	30.847.360	829.113	2,76%
	37	OTRO RESULTADO INTEGRAL	4.297.866.511	5.308.925.811	1.011.059.300	23,52%
	3705	POR REVALUACIÓN DE PROPIEDAD PLANTA Y EQUIPO Y ACTIVOS INTANGIBLES	4.297.866.511	5.308.925.811	1.011.059.300	23,52%
	39	RESULTADOS DE EJERCICIOS ANTERIORES	193.701.208	0	-193.701.208	-100,00%
	3905	EXCEDENTES	193.701.208	0	-193.701.208	-100,00%
	4	INGRESOS	34.920.569.813	35.092.252.242	171.682.429	0,49%
	41	INGRESOS POR VENTA DE BIENES Y SERVICIOS	29.586.514.164	25.773.516.817	-3.812.997.347	-12,89%
	4150	INGRESOS CARTERA DE CRÉDITOS	30.842.563.949	26.080.072.425	-4.762.491.524	-15,44%
	415005	INTERESES DE CRÉDITOS COMERCIALES	4.375.042.426	2.896.371.955	-1.478.670.471	-33,80%
	415010	INTERESES DE CRÉDITOS CONSUMO	10.414.063.556	9.214.154.636	-1.199.908.920	-11,52%
	415015	INTERESES DE CRÉDITOS VIVIENDA	0	323.829.639	323.829.639	100,00%
	415025	INTERESES DE MICROCRÉDITO EMPRESARIAL	3.574.718.411	2.553.343.492	-1.021.374.919	-28,57%
	415035	INTERESES MORATORIOS CARTERA COMERCIAL	293.644.386	38.688.796	-254.955.590	-86,82%
	415040	INTERESES MORATORIOS CARTERA CONSUMO	876.575.786	108.053.858	-768.521.928	-87,67%
	415045	INTERESES MORATORIOS CARTERA VIVIENDA	0	1.975.520	1.975.520	100,00%
	415055	INTERESES MORATORIOS CARTERA MICROCRÉDITO EMPRESARIAL	709.260.407	198.988.213	-510.272.194	-71,94%
	415065	INTERESES DE CRÉDITOS PRODUCTIVOS	10.436.658.939	10.630.168.009	193.509.070	1,85%
	415070	INTERESES MORATORIOS CARTERA CRÉDITOS PRODUCTIVOS	162.600.037	114.498.307	-48.101.730	-29,58%
	4175	DEVOLUCIONES REBAJAS Y DESCUENTOS EN VENTAS (DB)	-1.256.049.785	-306.555.608	949.494.177	-75,59%
	42	OTROS INGRESOS	5.334.055.650	9.318.735.425	3.984.679.775	74,70%
	4205	INGRESOS POR UTILIDAD EN VENTA DE INVERSIONES Y OTROS ACTIVOS	1.206.000	0	-1.206.000	-100,00%
	420565	ACTIVOS INTANGIBLES	1.206.000	0	-1.206.000	-100,00%
	4210	INGRESOS POR VALORACIÓN INVERSIONES	1.283.077.677	2.641.417.793	1.358.340.116	105,87%
	421010	EFECTIVO RESTRINGIDO	427.398.938	265.379.733	-162.019.205	-37,91%
	421015	INVERSIONES FONDO DE LIQUIDEZ	668.201.095	661.387.643	-6.813.452	-1,02%
	421036	INVERSIONES CONTABILIZADAS A COSTO AMORTIZADO	187.477.644	1.714.650.417	1.527.172.773	814,59%
	4220	OTROS INGRESOS	1.343.327.973	1.099.919.235	-243.408.737	-18,12%
	422004	INTERESES DE BANCOS Y OTRAS ENTIDADES CON ACTIVIDAD FINANCIERA	393.917.973	181.639.559	-212.278.414	-53,89%
	422005	DIVIDENDOS PARTICIPACIONES Y RETORNOS	19.800.000	293.339	-19.506.661	-98,52%
	422010	COMISIONES Y/O HONORARIOS	929.610.000	917.986.337	-11.623.663	-1,25%
	4225	RECUPERACIONES DETERIORO	2.620.368.000	5.453.119.430	2.832.751.430	108,11%
	422509	DE CRÉDITOS DE VIVIENDA	17.460.000	2.722.525	-14.737.475	-84,41%
	422510	DE INTERESES CRÉDITOS DE VIVIENDA	9.216.000	9.630.709	414.709	4,50%
	422511	DE PAGO POR CUENTA DE ASOCIADOS - CRÉDITOS DE VIVIENDA	0	666.012	666.012	100,00%
	422512	DE CRÉDITOS DE CONSUMO	527.652.000	707.519.785	179.867.785	34,09%
	422513	DE INTERESES CRÉDITOS DE CONSUMO	233.181.000	134.620.797	-98.560.203	-42,27%
	422514	DE PAGO POR CUENTA DE ASOCIADOS - CRÉDITOS DE CONSUMO	86.571.000	5.514.650	-81.056.350	-93,63%
	422518	DE MICROCRÉDITO EMPRESARIAL	658.188.000	1.816.351.473	1.158.163.473	175,96%
	422519	DE INTERESES MICROCRÉDITO EMPRESARIAL	380.088.000	317.310.847	-62.777.153	-16,52%
	422520	DE PAGOS POR CUENTA DE ASOCIADOS - MICROCRÉDITO EMPRESARIAL	0	22.130.503	22.130.503	100,00%
	422521	DE CRÉDITOS COMERCIALES	189.261.000	276.086.435	86.825.435	45,88%
	422522	DE INTERESES CRÉDITOS COMERCIALES	93.888.000	117.215.202	23.327.202	24,85%
	422523	DE PAGOS POR CUENTA DE ASOCIADOS - CRÉDITOS COMERCIALES	0	11.772.024	11.772.024	100,00%
	422524	DE DETERIORO GENERAL	233.577.000	941.344.424	707.767.424	303,01%
	422540	DE OTRAS CUENTAS POR COBRAR	22.194.000	11.410.187	-10.783.813	-48,59%
	422541	DE PROPIEDAD PLANTA Y EQUIPO	1.467.000	0	-1.467.000	-100,00%
	422546	RECUPERACIÓN DE BIENES DADOS DE BAJA	0	216.032.275	216.032.275	100,00%
	422549	DE CRÉDITOS PRODUCTIVOS	161.577.000	744.679.338	583.102.338	360,88%
	422550	DE INTERESES CRÉDITOS PRODUCTIVOS	6.048.000	117.568.487	111.520.487	1843,92%
	422551	DE PAGOS POR CUENTA DE ASOCIADOS - CRÉDITOS PRODUCTIVOS	0	543.757	543.757	100,00%
	4230	ADMINISTRATIVOS Y SOCIALES	80.748.000	87.165.510	6.417.510	7,95%
	423095	OTROS	80.748.000	87.165.510	6.417.510	7,95%
	4240	SERVICIOS DIFERENTES AL OBJETO SOCIAL	5.202.000	4.537.818	-664.182	-12,77%
	424090	OTROS	5.202.000	4.537.818	-664.182	-12,77%
	4245	INDEMNIZACIONES	81.000	0	-81.000	-100,00%
	424595	OTRAS	81.000	0	-81.000	-100,00%
	4255	INGRESOS POR DIFERENCIA EN CAMBIO	45.000	0	-45.000	-100,00%
	4265	RECUPERACIONES POR RIESGO OPERATIVO	0	32.575.638	32.575.638	100,00%
	5	GASTOS	29.951.184.894	29.659.570.612	-291.614.282	-0,97%
	51	GASTOS DE ADMINISTRACIÓN	24.859.690.636	22.589.261.118	-2.270.429.518	-9,13%
	5105	BENEFICIO A EMPLEADOS	9.278.159.487	8.398.297.144	-879.862.343	-9,48%
	510503	SUELDOS	5.132.471.426	4.630.181.092	-502.290.334	-9,79%
	510505	HORAS EXTRAS	18.630.000	2.459.301	-16.170.699	-86,80%
	510506	COMISIONES	261.131.652	281.519.456	20.387.804	7,81%
	510507	VIÁTICOS	180.161.806	187.873.700	7.711.894	4,28%
	510508	INCAPACIDADES	19.434.810	18.642.737	-792.073	-4,08%
	510509	AUXILIO DE TRANSPORTE	283.623.402	216.073.693	-67.549.709	-23,82%
	510510	CESANTÍAS	464.692.753	454.006.802	-10.685.951	-2,30%
	510511	INTERESES SOBRE CESANTÍAS	55.762.137	54.480.743	-1.281.394	-2,30%
	510512	PRIMA LEGAL	466.618.553	454.566.888	-12.051.665	-2,58%
	510513	PRIMA EXTRALEGAL	40.826.186	39.138.902	-1.687.284	-4,13%
	510514	PRIMA DE VACACIONES	213.481.524	198.579.192	-14.902.332	-6,98%
	510515	PRIMA DE ANTIGÜEDAD	25.617.193	24.531.097	-1.086.096	-4,24%
	510516	VACACIONES	212.992.709	218.727.929	5.735.220	2,69%
	510519	BONIFICACIONES	217.444.507	209.011.925	-8.432.582	-3,88%
	510520	INDEMNIZACIONES LABORALES	17.964.353	7.235.714	-10.728.639	-59,72%
	510521	DOTACIÓN Y SUMINISTRO A TRABAJADORES	54.000.000	4.231.054	-49.768.946	-92,16%
	510522	AUXILIOS AL PERSONAL	288.772.676	231.026.379	-57.746.297	-20,00%
	510523	APORTES SALUD	24.651.607	19.147.777	-5.503.830	-22,33%
	510524	APORTES PENSIÓN	704.211.502	630.552.054	-73.659.448	-10,46%
	510525	APORTES A.R.L	101.226.283	67.920.700	-33.305.583	-32,90%
	510526	APORTES CAJAS DE COMPENSACIÓN FAMILIAR	233.553.562	207.808.000	-25.745.562	-11,02%
	510527	APORTES I.C.B.F.	1.039.257	2.388.600	1.349.343	129,84%
	510528	APORTES SENA	693.051	1.592.500	899.449	129,78%
	510531	CAPACITACIÓN AL PERSONAL	27.500.000	220.000	-27.280.000	-99,20%
	510532	GASTOS DEPORTIVOS Y DE RECREACIÓN	150.483.824	126.652.775	-23.831.049	-15,84%
	510595	OTROS BENEFICIOS A EMPLEADOS	81.174.714	109.728.134	28.553.420	35,18%
	5110	GASTOS GENERALES	8.101.948.970	6.958.728.904	-1.143.220.066	-14,11%
	511001	HONORARIOS	484.219.533	469.838.553	-14.380.980	-2,97%
	511002	IMPUESTOS	544.772.318	403.917.157	-140.855.161	-25,86%
	511003	ARRENDAMIENTOS	700.803.000	718.460.412	17.657.412	2,52%
	511005	SEGUROS	633.147.027	805.671.782	172.524.755	27,25%
	511006	MANTENIMIENTO Y REPARACIONES	380.649.235	154.761.472	-225.887.763	-59,34%
	511007	MEJORAS A BIENES AJENOS	92.000.000	690.000	-91.310.000	-99,25%
	511008	CUOTAS DE ADMINISTRACIÓN	11.232.000	10.395.000	-837.000	-7,45%
	511010	ASEO Y ELEMENTOS	281.663.090	301.972.738	20.309.648	7,21%
	511011	CAFETERÍA	17.080.825	28.389.867	11.309.042	66,21%
	511012	SERVICIOS PÚBLICOS	1.361.340.000	1.038.132.528	-323.207.472	-23,74%
	511013	CORREO	104.645.655	70.836.942	-33.808.713	-32,31%
	511014	TRANSPORTE FLETES Y ACARREOS	48.911.555	89.666.516	40.754.961	83,32%
	511015	PAPELERÍA Y ÚTILES DE OFICINA	169.613.155	68.407.023	-101.206.132	-59,67%
	511016	FOTOCOPIAS	42.075.951	36.592.727	-5.483.224	-13,03%
	511018	PUBLICIDAD Y PROPAGANDA	783.871.261	766.059.597	-17.811.664	-2,27%
	511019	CONTRIBUCIONES Y AFILIACIONES	206.717.000	224.249.060	17.532.060	8,48%
	511020	GASTOS DE ASAMBLEA	63.312.821	86.461.208	23.148.387	36,56%
	511021	GASTOS DE DIRECTIVOS	10.220.546	17.916.403	7.695.857	75,30%
	511022	GASTOS DE COMITÉS	93.475.334	23.788.906	-69.686.428	-74,55%
	511023	REUNIONES Y CONFERENCIAS	68.477.587	4.165.600	-64.311.987	-93,92%
	511024	GASTOS LEGALES	27.837.901	50.001.202	22.163.301	79,62%
	511025	INFORMACIÓN COMERCIAL	131.360.063	88.396.271	-42.963.792	-32,71%
	511027	GASTOS DE VIAJES	219.486.034	284.863.286	65.377.252	29,79%
	511029	VIGILANCIA PRIVADA	180.418.691	275.187.826	94.769.135	52,53%
	511030	SISTEMATIZACIÓN	299.346.312	245.422.710	-53.923.602	-18,01%
	511031	CUOTAS DE SOSTENIMIENTO	38.754.000	23.438.173	-15.315.827	-39,52%
	511032	SUSCRIPCIONES Y PUBLICACIONES	2.062.042	1.157.000	-905.042	-43,89%
	511033	ADECUACIÓN E INSTALACIÓN	216.269.495	22.820.520	-193.448.975	-89,45%
	511034	ASISTENCIA TÉCNICA	105.206.372	99.755.349	-5.451.023	-5,18%
	511035	PROCESAMIENTO ELECTRÓNICO DE DATOS	684.180.167	399.582.830	-284.597.337	-41,60%
	511095	OTROS	98.800.000	147.730.246	48.930.246	49,52%
	5115	DETERIORO	5.900.000.000	6.413.017.418	513.017.418	8,70%
	511515	INTERESES CRÉDITOS DE VIVIENDA	3.375.000	0	-3.375.000	-100,00%
	511516	PAGO POR CUENTA DE ASOCIADOS - CRÉDITOS DE VIVIENDA	126.000	15.721	-110.279	-87,52%
	511517	CRÉDITOS DE CONSUMO	6.379.651.342	2.046.265.164	-4.333.386.178	-67,93%
	511518	INTERESES CRÉDITOS DE CONSUMO	179.973.000	65.798.525	-114.174.475	-63,44%
	511519	PAGO POR CUENTA DE ASOCIADOS - CRÉDITOS DE CONSUMO	19.521.000	4.437.917	-15.083.083	-77,27%
	511523	MICROCRÉDITO EMPRESARIAL	-4.419.909.336	808.223.946	5.228.133.282	-118,29%
	511524	INTERESES MICROCRÉDITO EMPRESARIAL	431.388.000	101.233.902	-330.154.098	-76,53%
	511525	PAGOS POR CUENTA DE ASOCIADOS - MICROCRÉDITO EMPRESARIAL	50.769.000	13.955.257	-36.813.743	-72,51%
	511526	CRÉDITOS COMERCIALES	112.795.297	620.338.643	507.543.346	449,97%
	511527	INTERESES CRÉDITOS COMERCIALES	64.287.000	57.295.218	-6.991.782	-10,88%
	511528	PAGOS POR CUENTA DE ASOCIADOS - CRÉDITOS COMERCIALES	14.535.000	2.415.613	-12.119.387	-83,38%
	511529	DETERIORO GENERAL DE CARTERA DE CRÉDITOS	612.850.000	338.390.491	-274.459.509	-44,78%
	511545	OTRAS CUENTAS POR COBRAR	18.018.000	15.759.821	-2.258.179	-12,53%
	511559	INTERESES DE CRÉDITOS DE CONSUMO CON PERIODOS DE GRACIA	10.863.000	0	-10.863.000	-100,00%
	511561	INTERESES DE MICROCRÉDITO EMPRESARIAL CON PERIODOS DE GRACIA	97.839.000	0	-97.839.000	-100,00%
	511562	INTERESES DE CRÉDITOS COMERCIALES CON PERIODOS DE GRACIA	61.407.000	0	-61.407.000	-100,00%
	511563	DETERIORO GENERAL ADICIONAL CARTERA DE CRÉDITOS	438.100.000	1.373.890.295	935.790.295	213,60%
	511565	OTROS CONCEPTOS CAUSADOS DE CRÉDITOS DE CONSUMO POR PERIODOS DE GRACIA	423.000	0	-423.000	-100,00%
	511567	OTROS CONCEPTOS CAUSADOS DE MICROCRÉDITO EMPRESARIAL POR PERIODOS DE GRACIA	4.851.000	0	-4.851.000	-100,00%
	511568	OTROS CONCEPTOS CAUSADOS DE CRÉDITOS COMERCIALES POR PERIODOS DE GRACIA	2.646.000	0	-2.646.000	-100,00%
	511570	CRÉDITOS PRODUCTIVOS	2.259.855.783	894.941.824	-1.364.913.959	-60,40%
	511571	INTERESES CRÉDITOS PRODUCTIVOS	189.609.400	65.356.648	-124.252.752	-65,53%
	511572	PAGOS POR CUENTA DE ASOCIADOS - CRÉDITOS PRODUCTIVOS	1.827.560	4.698.433	2.870.873	157,09%
	5120	AMORTIZACIÓN Y AGOTAMIENTO	307.237.137	384.476.532	77.239.395	25,14%
	512020	LICENCIAS	307.237.137	384.476.532	77.239.395	25,14%
	5125	DEPRECIACIÓN PROPIEDAD PLANTA Y EQUIPO	1.272.345.042	434.741.120	-837.603.922	-65,83%
	512505	EDIFICACIONES	50.199.221	52.238.388	2.039.167	4,06%
	512510	MUEBLES Y EQUIPO DE OFICINA	133.052.208	71.290.664	-61.761.544	-46,42%
	512515	EQUIPO DE CÓMPUTO Y COMUNICACIÓN	1.012.417.184	272.823.038	-739.594.146	-73,05%
	512545	MAQUINARIA Y EQUIPO	76.676.429	38.389.030	-38.287.399	-49,93%
	52	OTROS GASTOS	3.540.547.053	3.114.296.673	-426.250.380	-12,04%
	5210	GASTOS FINANCIEROS	1.149.380.253	968.518.646	-180.861.607	-15,74%
	521005	GASTOS BANCARIOS	1.746.000	949.979	-796.021	-45,59%
	521020	COMISIONES	1.147.634.253	967.568.667	-180.065.586	-15,69%
	5212	GASTOS POR RIESGO OPERATIVO	40.824.000	5.950.000	-34.874.000	-85,43%
	5230	GASTOS VARIOS	2.350.342.800	2.139.828.027	-210.514.773	-8,96%
	523015	CONTRATOS ONEROSOS	1.098.103.500	944.408.449	-153.695.051	-14,00%
	523020	MULTAS SANCIONES LITIGIOS INDEMNIZACIONES Y DEMANDAS	213.300	8.200	-205.100	-96,16%
	523050	IMPUESTOS ASUMIDOS	701.739.000	702.047.126	308.126	0,04%
	523095	OTROS	550.287.000	493.364.252	-56.922.748	-10,34%
	53	EXCEDENTES Y PERDIDAS DEL EJERCICIO	1.550.947.205	3.956.012.820	2.405.065.615	155,07%
	6	COSTO DE VENTAS	5.899.259.976	5.432.681.630	-466.578.346	-7,91%
	61	COSTO DE VENTAS Y DE PRESTACIÓN DE SERVICIOS	5.899.259.976	5.432.681.630	-466.578.346	-7,91%
	6150	INTERESES DE DEPÓSITOS DE CRÉDITOS DE BANCOS Y OTRAS OBLIGACIONES FINANCIERAS	5.899.259.976	5.432.681.630	-466.578.346	-7,91%
	615005	INTERESES DEPÓSITOS DE AHORRO ORDINARIO	1.124.647.920	763.089.419	-361.558.501	-32,15%
	615010	INTERESES DEPÓSITOS DE AHORRO A TERMINO	4.007.565.694	4.337.761.972	330.196.278	8,24%
	615015	INTERESES AHORRO CONTRACTUAL	54.981.988	54.332.562	-649.426	-1,18%
	615025	CONTRIBUCIÓN EMERGENCIA ECONÓMICA	5.814.000	0	-5.814.000	-100,00%
	615035	INTERESES DE CRÉDITOS DE BANCOS	706.250.374	277.497.677	-428.752.697	-60,71%
						
	53	EXCEDENTES Y PERDIDAS DEL EJERCICIO	1.550.947.205	3.956.012.820	2.405.065.615	155,07%
